document_id,case_id,document_type,title,content,tags,created_at,validation_status
DOC_RCA_SYN_001,RCA_SYN_001,RCA_CASE,Cu CMP low slurry-flow excursion,"Synthetic RCA case. Observed symptom: slurry flow trends down, endpoint time extends, and Cu residue rises across several wafers. Root cause: Partial restriction in the slurry filter reduced delivered slurry flow. Corrective actions: replace the slurry filter; calibrate the flow controller; run qualification wafers. Engineering boundary: Do not release held lots until post-maintenance flow and removal-rate checks pass",Cu CMP;slurry;endpoint;Cu residue,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_002,RCA_SYN_002,RCA_CASE,Cu CMP intermittent slurry-delivery loss,Synthetic RCA case. Observed symptom: intermittent slurry-flow dips align with removal-rate loss and endpoint extension. Root cause: Slurry pump cavitation intermittently interrupted chemical delivery. Corrective actions: inspect pump inlet pressure; remove trapped gas; verify stable slurry delivery. Engineering boundary: Treat the pump mechanism as unconfirmed until pressure and flow traces correlate,Cu CMP;slurry pump;removal rate,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_003,RCA_SYN_003,RCA_CASE,Cu CMP radial scratch cluster,Synthetic RCA case. Observed symptom: radial scratches repeat at the same wafer radius while normal slurry and endpoint signals are observed. Root cause: A worn retaining ring created repeatable mechanical contact. Corrective actions: replace the retaining ring; inspect carrier contact surfaces; verify scratch-free monitor wafers. Engineering boundary: Do not attribute isolated random scratches to the retaining ring without repeatable geometry,Cu CMP;scratch;retaining ring,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_004,RCA_SYN_004,RCA_CASE,Cu CMP random scratch burst,Synthetic RCA case. Observed symptom: random-direction scratches appear on a short wafer sequence after a carrier change with normal process traces. Root cause: A trapped carrier particle caused transient wafer contact. Corrective actions: clean the carrier; inspect the load path; monitor subsequent wafers. Engineering boundary: The exact particle source remains inconclusive without physical recovery,Cu CMP;scratch;carrier particle,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_005,RCA_SYN_005,RCA_CASE,Cu CMP center-fast thickness profile,Synthetic RCA case. Observed symptom: post-polish thickness shows a center-fast profile while slurry flow remains stable. Root cause: Pad glazing changed the effective wafer-to-pad contact profile. Corrective actions: condition or replace the pad; verify pad-life counters; run profile qualification. Engineering boundary: Confirm with pad condition and profile evidence before changing pressure recipes,Cu CMP;thickness profile;pad life,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_006,RCA_SYN_006,RCA_CASE,Cu CMP edge over-polish signature,Synthetic RCA case. Observed symptom: edge thickness loss increases after carrier maintenance while center removal remains nominal. Root cause: Retaining-ring pressure calibration was biased high. Corrective actions: recalibrate ring pressure; check carrier maintenance records; qualify edge profile. Engineering boundary: Recipe changes require process-engineer approval after hardware calibration is verified,Cu CMP;edge overpolish;pressure,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_007,RCA_SYN_007,RCA_CASE,ILD CVD low deposition rate,Synthetic RCA case. Observed symptom: pre-CMP ILD thickness drifts low on one chamber while downstream CMP traces remain normal. Root cause: The precursor mass-flow controller calibration drifted low. Corrective actions: calibrate the precursor MFC; check chamber matching; run thickness qualification. Engineering boundary: Do not blame CMP when upstream pre-CMP thickness is already low,Thin Film;CVD;low thickness;MFC,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_008,RCA_SYN_008,RCA_CASE,CVD chamber particle burst,Synthetic RCA case. Observed symptom: particle counts rise abruptly after long chamber runtime and show chamber-specific clustering. Root cause: Deposited film flaked from the showerhead after exceeding clean life. Corrective actions: perform chamber clean; inspect the showerhead; reset and monitor clean-life counters. Engineering boundary: Hold chamber-exposed lots until particle monitors pass,Thin Film;CVD;particle;showerhead,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_009,RCA_SYN_009,RCA_CASE,PECVD film-stress shift,Synthetic RCA case. Observed symptom: film stress shifts tensile while thickness and gas flow remain inside their normal bands. Root cause: RF matching-network drift changed plasma ion energy. Corrective actions: verify RF match tuning; inspect reflected power; qualify film stress. Engineering boundary: Stress evidence alone cannot authorize an RF hardware replacement,Thin Film;PECVD;film stress;RF,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_010,RCA_SYN_010,RCA_CASE,CVD wafer-to-wafer rate drift,Synthetic RCA case. Observed symptom: deposition rate decays over the first wafers after preventive maintenance and then stabilizes. Root cause: The post-clean chamber seasoning sequence was incomplete. Corrective actions: repeat the seasoning sequence; verify rate stabilization; review PM completion checks. Engineering boundary: Exclude unstable seasoning wafers from production release,Thin Film;CVD;seasoning;rate drift,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_011,RCA_SYN_011,RCA_CASE,CVD center-edge thickness imbalance,Synthetic RCA case. Observed symptom: center-edge thickness range increases with a stable wafer-average deposition rate. Root cause: A heater-zone calibration imbalance changed local surface temperature. Corrective actions: calibrate heater zones; verify temperature sensors; run wafer-map qualification. Engineering boundary: Use spatial maps to distinguish heater imbalance from bulk flow loss,Thin Film;CVD;uniformity;heater,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_012,RCA_SYN_012,RCA_CASE,Lithography CD large excursion,Synthetic RCA case. Observed symptom: critical dimension shifts large together with focus-monitor drift but stable dose monitors. Root cause: Scanner focus calibration shifted after maintenance. Corrective actions: recalibrate focus; verify focus-exposure matrix; qualify critical-layer wafers. Engineering boundary: Do not compensate dose until focus contribution is isolated,Lithography;CD;focus,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_013,RCA_SYN_013,RCA_CASE,Lithography overlay X shift,Synthetic RCA case. Observed symptom: overlay shows a consistent X-direction translation on one scanner with normal wafer expansion terms. Root cause: Stage alignment calibration carried a constant X offset. Corrective actions: recalibrate stage alignment; verify alignment marks; run overlay qualification. Engineering boundary: Lot disposition requires layer-specific overlay limits,Lithography;overlay;stage,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_014,RCA_SYN_014,RCA_CASE,Lithography missing-pattern strip,Synthetic RCA case. Observed symptom: missing-pattern defects form a narrow strip aligned with the developer dispense path. Root cause: A partially blocked developer nozzle reduced local chemical coverage. Corrective actions: clean or replace the nozzle; verify dispense coverage; inspect monitor wafers. Engineering boundary: Separate develop coverage failure from scanner exposure using defect orientation,Lithography;develop;missing pattern,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_015,RCA_SYN_015,RCA_CASE,Lithography bridge-defect increase,Synthetic RCA case. Observed symptom: bridge defects rise while exposure dose is stable and bake-plate temperature trends low. Root cause: Post-exposure bake plate calibration drifted below target. Corrective actions: calibrate the bake plate; verify temperature uniformity; run resist-profile qualification. Engineering boundary: Recipe temperature changes require process-owner review,Lithography;bridge;PEB,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_016,RCA_SYN_016,RCA_CASE,Photoresist edge-peel signature,Synthetic RCA case. Observed symptom: resist peel is concentrated at the wafer edge after an edge-bead-removal maintenance event. Root cause: The edge-bead-removal nozzle position was misaligned. Corrective actions: realign the EBR nozzle; verify edge coverage; inspect adhesion monitors. Engineering boundary: Confirm edge geometry before changing resist chemistry,Lithography;resist peel;EBR,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_017,RCA_SYN_017,RCA_CASE,Plasma etch-rate loss,Synthetic RCA case. Observed symptom: etch rate trends low with rising source-RF reflected power and stable gas flow. Root cause: Source-RF delivery degraded because of a matching-network fault. Corrective actions: inspect the RF match network; verify delivered power; qualify etch rate. Engineering boundary: Do not change process time before verifying delivered RF power,Etch;etch rate;source RF,2026-08-08T00:00:00+08:00,CONFIRMED
