lot_id,wafer_id,test_item,parameter_name,measured_value,spec_low,spec_high,pass_fail,fail_mode,tested_at
LOT_N_001,LOT_N_001_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T05:45:00+00:00
LOT_N_002,LOT_N_002_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T08:45:00+00:00
LOT_N_003,LOT_N_003_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T11:45:00+00:00
LOT_N_004,LOT_N_004_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T14:45:00+00:00
LOT_N_005,LOT_N_005_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T17:45:00+00:00
LOT_N_006,LOT_N_006_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T20:45:00+00:00
LOT_N_007,LOT_N_007_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-05T23:45:00+00:00
LOT_N_008,LOT_N_008_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-06T02:45:00+00:00
LOT_N_009,LOT_N_009_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-06T05:45:00+00:00
LOT_N_010,LOT_N_010_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-06T08:45:00+00:00
LOT_N_011,LOT_N_011_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-06T11:45:00+00:00
LOT_N_012,LOT_N_012_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-06T14:45:00+00:00
LOT_N_013,LOT_N_013_W01,WAT_LEAKAGE,iddq_leakage,2.1,0.0,5.0,true,,2026-07-06T17:45:00+00:00
