lot_id,wafer_id,test_item,parameter_name,measured_value,spec_low,spec_high,pass_fail,fail_mode,tested_at
LOT_A_001,LOT_A_001_W01,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:20:00+00:00
LOT_A_001,LOT_A_001_W02,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:21:00+00:00
LOT_A_001,LOT_A_001_W03,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:22:00+00:00
LOT_A_001,LOT_A_001_W04,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:23:00+00:00
LOT_A_001,LOT_A_001_W05,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:24:00+00:00
LOT_A_001,LOT_A_001_W06,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:25:00+00:00
LOT_A_001,LOT_A_001_W07,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:26:00+00:00
LOT_A_001,LOT_A_001_W08,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:27:00+00:00
LOT_A_001,LOT_A_001_W09,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:28:00+00:00
LOT_A_001,LOT_A_001_W10,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:29:00+00:00
LOT_A_001,LOT_A_001_W11,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:30:00+00:00
LOT_A_001,LOT_A_001_W12,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:31:00+00:00
LOT_A_001,LOT_A_001_W13,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:32:00+00:00
LOT_A_001,LOT_A_001_W14,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:33:00+00:00
LOT_A_001,LOT_A_001_W15,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:34:00+00:00
LOT_A_001,LOT_A_001_W16,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:35:00+00:00
LOT_A_001,LOT_A_001_W17,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:36:00+00:00
LOT_A_001,LOT_A_001_W18,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:37:00+00:00
LOT_A_001,LOT_A_001_W19,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:38:00+00:00
LOT_A_001,LOT_A_001_W20,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:39:00+00:00
LOT_A_001,LOT_A_001_W21,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:40:00+00:00
LOT_A_001,LOT_A_001_W22,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:41:00+00:00
LOT_A_001,LOT_A_001_W23,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:42:00+00:00
LOT_A_001,LOT_A_001_W24,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:43:00+00:00
LOT_A_001,LOT_A_001_W25,WAT_LEAKAGE_SHORT,iddq_leakage,2.100,0.0,5.0,true,,2026-07-02T21:44:00+00:00
